part_id,part_code,part_name,description,category,unit_of_measure,reference_unit_price,reference_currency,is_active,created_at,updated_at
PART-001,EV-BAT-MOD-001,High Density Battery Module,Modular lithium battery pack segment,battery,EA,1450.00,EUR,true,2026-05-28T00:00:00Z,2026-05-28T00:00:00Z
PART-002,EV-BAT-CELL-002,Prismatic Battery Cell,High energy density prismatic cell,battery,EA,1450.00,EUR,true,2026-05-28T00:00:00Z,2026-05-28T00:00:00Z
PART-003,EV-BMS-CTRL-003,Battery Management Controller,Controller for monitoring battery state,battery,EA,1450.00,EUR,true,2026-05-28T00:00:00Z,2026-05-28T00:00:00Z
PART-004,EV-BAT-COOL-004,Battery Cooling Plate,Liquid cooling plate for battery modules,thermal,EA,380.00,EUR,true,2026-05-28T00:00:00Z,2026-05-28T00:00:00Z
PART-005,EV-BAT-HOUS-005,Battery Pack Housing,Structural aluminum battery enclosure,battery,EA,1450.00,EUR,true,2026-05-28T00:00:00Z,2026-05-28T00:00:00Z
PART-006,EV-MTR-ASM-006,Rear Electric Drive Motor,High torque rear axle electric motor,powertrain,EA,2800.00,EUR,true,2026-05-28T00:00:00Z,2026-05-28T00:00:00Z
PART-007,EV-MTR-FRT-007,Front Electric Drive Motor,Compact front axle electric motor,powertrain,EA,2800.00,EUR,true,2026-05-28T00:00:00Z,2026-05-28T00:00:00Z
PART-008,EV-INV-800-008,800V Traction Inverter,Silicon carbide traction inverter,power electronics,EA,980.00,EUR,true,2026-05-28T00:00:00Z,2026-05-28T00:00:00Z
PART-009,EV-DC-DC-009,High Voltage DC DC Converter,Converter for HV to low voltage systems,power electronics,EA,980.00,EUR,true,2026-05-28T00:00:00Z,2026-05-28T00:00:00Z
PART-010,EV-OBC-011,On Board Charger,AC charging module for vehicle battery,charging,EA,520.00,EUR,true,2026-05-28T00:00:00Z,2026-05-28T00:00:00Z
PART-011,EV-PORT-CCS-011,CCS Charging Port,Combined charging connector assembly,charging,EA,520.00,EUR,true,2026-05-28T00:00:00Z,2026-05-28T00:00:00Z
PART-012,EV-HV-CABLE-012,High Voltage Cable Harness,Orange shielded high voltage harness,electrical,EA,240.00,EUR,true,2026-05-28T00:00:00Z,2026-05-28T00:00:00Z
PART-013,EV-HV-JBOX-013,High Voltage Junction Box,Power distribution junction box,electrical,EA,240.00,EUR,true,2026-05-28T00:00:00Z,2026-05-28T00:00:00Z
PART-014,EV-THERM-PUMP-014,Electric Coolant Pump,High efficiency electric coolant pump,thermal,EA,380.00,EUR,true,2026-05-28T00:00:00Z,2026-05-28T00:00:00Z
PART-015,EV-HEAT-PUMP-015,Vehicle Heat Pump Unit,Integrated heat pump for cabin and battery,thermal,EA,380.00,EUR,true,2026-05-28T00:00:00Z,2026-05-28T00:00:00Z
